"","Towns.by.Size","County","TownSize","PersonsPerSqKm","TotalPopulation","AllHouseholds","Household_Income","Avg_Rent","PC_ICTOwnsPC","PC_ICTInternet","PC_HeatingNoCentral","PC_SeweragePublic","PC_SewerageIndSeptic","RentIncomeRatio","PeoplePerHouse"
"41","Portmarnock","D","5K-20K",2587.3,9466,3337,70243,1379.9,0.856158225951453,0.923883727899311,0.00239736290080911,0.937668564578963,0.0161821995804615,0.235735945218741,2.83667965238238
"42","Rush","D","5K-20K",1699.5,9943,3225,54890,1046.96,0.755968992248062,0.86015503875969,0.00558139534883721,0.896124031007752,0.0282170542635659,0.228885407177992,3.0831007751938
"43","Gorey","WX","5K-20K",1856,9822,3566,36311,673.87,0.655636567582726,0.78771733034212,0.0131800336511497,0.936062815479529,0.0176668536174986,0.22269945746468,2.7543466068424
"44","Ratoath","MH","5K-20K",3254.8,9533,2790,72810,1131.9,0.812186379928315,0.925089605734767,0.0017921146953405,0.946236559139785,0.0168458781362007,0.18655129789864,3.4168458781362
"45","Nenagh","T","5K-20K",1453.3,8968,3583,35126,547.9,0.616243371476416,0.730672620708903,0.015908456600614,0.908177504884175,0.0262349986045214,0.187177589250128,2.50293050516327
"46","Trim","MH","5K-20K",1652.3,9194,3052,47162,780.41,0.699213630406291,0.818479685452162,0.00557011795543906,0.953473132372215,0.00917431192660551,0.198569187057377,3.01245085190039
"47","Tuam","G","5K-20K",1354.4,8767,3452,35174,606.59,0.608922363847045,0.724217844727694,0.0101390498261877,0.9058516801854,0.0254924681344148,0.20694490248479,2.53968713789108
"48","New Ross","WX","5K-20K",1311.6,8040,3237,31531,550.73,0.594995366079703,0.717021933889404,0.0256410256410256,0.898980537534754,0.0454124189063948,0.209595636040722,2.483781278962
"49","Kildare","KE","5K-20K",2781.4,8634,2958,42750,992.54,0.649087221095335,0.819134550371873,0.013184584178499,0.929006085192698,0.0172413793103448,0.278607719298246,2.91886409736308
"50","Thurles","T","5K-20K",1151.3,7940,3203,34001,551.76,0.579456759288167,0.714330315329379,0.0187324383390571,0.928192319700281,0.025913206369029,0.194733096085409,2.47892600686856
